#FORMAT=WebAnno TSV 3.3


#Text=Ей всегда казалось , что она пишет очень мало .
1-1	0-2	Ей	
39-4	4786-4789	как	
39-5	4790-4794	было	
39-6	4795-4803	доказано	
39-7	4804-4805	,	
39-8	4806-4809	что	
39-9	4810-4817	останки	
39-10	4818-4819	,	
39-11	4820-4828	очевидно	
39-12	4829-4830	,	
39-13	4831-4842	принадлежат	
39-14	4843-4844	к	
39-15	4845-4850	иному	
39-16	4851-4855	виду	
39-17	4856-4857	,	
39-18	4858-4864	нежели	
39-19	4865-4878	австралопитек	
39-20	4879-4880	,	
39-21	4881-4885	Луис	
39-22	4886-4890	Лики	
39-23	4891-4892	,	
39-24	4893-4899	Филипп	
39-25	4900-4906	Тобиас	
39-26	4907-4908	и	
39-27	4909-4913	Джон	
39-28	4914-4919	Напье	
39-29	4920-4921	в	
39-30	4922-4926	1964	
39-31	4927-4928	г	
39-32	4929-4930	.	
39-33	4931-4936	решил	
39-34	4937-4941	дать	
39-35	4942-4945	ему	
39-36	4946-4949	имя	
39-37	4950-4957	Человек	
39-38	4958-4964	умелый	
39-39	4965-4966	.	

#Text=Было очевидно , что он размышляет об этом постоянно , пропуская веселый разговор о « Дяде Степе » мимо ушей .
40-1	4968-4972	Было	
40-2	4973-4981	очевидно	
40-3	4982-4983	,	
40-4	4984-4987	что	
40-5	4988-4990	он	
40-6	4991-5001	размышляет	
40-7	5002-5004	об	
40-8	5005-5009	этом	
40-9	5010-5019	постоянно	
40-10	5020-5021	,	
40-11	5022-5031	пропуская	
40-12	5032-5039	веселый	
40-13	5040-5048	разговор	
40-14	5049-5050	о	
40-15	5051-5052	«	
40-16	5053-5057	Дяде	
40-17	5058-5063	Степе	
40-18	5064-5065	»	
40-19	5066-5070	мимо	
40-20	5071-5075	ушей	
40-21	5076-5077	.	

#Text=Уже очевидно , что она превысила психологически важный барьер в 30 % , - констатировал генеральный директор Центра политического консультирования Андрей Становой .
41-1	5079-5082	Уже	
41-2	5083-5091	очевидно	
41-3	5092-5093	,	
41-4	5094-5097	что	
41-5	5098-5101	она	
41-6	5102-5111	превысила	
41-7	5112-5126	психологически	
41-8	5127-5133	важный	
41-9	5134-5140	барьер	
41-10	5141-5142	в	
41-11	5143-5145	30	
41-12	5146-5147	%	
41-13	5148-5149	,	
41-14	5150-5151	-	
41-15	5152-5165	констатировал	
41-16	5166-5177	генеральный	
41-17	5178-5186	директор	
41-18	5187-5193	Центра	
41-19	5194-5207	политического	
41-20	5208-5224	консультирования	
41-21	5225-5231	Андрей	
41-22	5232-5240	Становой	
41-23	5241-5242	.	

#Text=На их счастье старший из них , очевидно , уже имел дело с русскими .
42-1	5244-5246	На	
42-2	5247-5249	их	
42-3	5250-5257	счастье	
42-4	5258-5265	старший	
42-5	5266-5268	из	
42-6	5269-5272	них	
42-7	5273-5274	,	
42-8	5275-5283	очевидно	
42-9	5284-5285	,	
42-10	5286-5289	уже	
42-11	5290-5294	имел	
42-12	5295-5299	дело	
42-13	5300-5301	с	
42-14	5302-5310	русскими	
42-15	5311-5312	.	

#Text=Сиё гигантское мероприятие по уничтожению улик , якобы начавшееся летом 1943-го , будто бы проходило под кодовым названием " Акция 1005 " .
43-1	5314-5317	Сиё	
43-2	5318-5328	гигантское	
43-3	5329-5340	мероприятие	
43-4	5341-5343	по	
43-5	5344-5355	уничтожению	
43-6	5356-5360	улик	
43-7	5361-5362	,	
43-8	5363-5368	якобы	
43-9	5369-5379	начавшееся	
43-10	5380-5385	летом	
43-11	5386-5390	1943	
43-12	5390-5391	-	
43-13	5391-5393	го	
43-14	5394-5395	,	
43-15	5396-5401	будто	
43-16	5402-5404	бы	
43-17	5405-5414	проходило	
43-18	5415-5418	под	
43-19	5419-5426	кодовым	
43-20	5427-5436	названием	
43-21	5437-5438	"	
43-22	5439-5444	Акция	
43-23	5445-5449	1005	
43-24	5450-5451	"	
43-25	5452-5453	.	

#Text=Как утверждают эстонские военные , российский самолет якобы вторгся в воздушное пространство страны вблизи острова Вайндлоо , где пробыл меньше минуты .
44-1	5455-5458	Как	
44-2	5459-5469	утверждают	
44-3	5470-5479	эстонские	
44-4	5480-5487	военные	
44-5	5488-5489	,	
44-6	5490-5500	российский	
44-7	5501-5508	самолет	
44-8	5509-5514	якобы	
44-9	5515-5522	вторгся	
44-10	5523-5524	в	
44-11	5525-5534	воздушное	
44-12	5535-5547	пространство	
44-13	5548-5554	страны	
44-14	5555-5561	вблизи	
44-15	5562-5569	острова	
44-16	5570-5578	Вайндлоо	
44-17	5579-5580	,	
44-18	5581-5584	где	
44-19	5585-5591	пробыл	
44-20	5592-5598	меньше	
44-21	5599-5605	минуты	
44-22	5606-5607	.	

#Text=Как сообщал портал iz.ru , в пятницу , 16 февраля , американское министерство юстиций опубликовало список россиян и компаний , обвиняемых в рамках дела о якобы имевшем место вмешательстве РФ в выборы президента США .
45-1	5609-5612	Как	
45-2	5613-5620	сообщал	
45-3	5621-5627	портал	
45-4	5628-5633	iz.ru	
45-5	5634-5635	,	
45-6	5636-5637	в	
45-7	5638-5645	пятницу	
45-8	5646-5647	,	
45-9	5648-5650	16	
45-10	5651-5658	февраля	
45-11	5659-5660	,	
45-12	5661-5673	американское	
45-13	5674-5686	министерство	
45-14	5687-5694	юстиций	
45-15	5695-5707	опубликовало	
45-16	5708-5714	список	
45-17	5715-5722	россиян	
45-18	5723-5724	и	
45-19	5725-5733	компаний	
45-20	5734-5735	,	
45-21	5736-5746	обвиняемых	
45-22	5747-5748	в	
45-23	5749-5755	рамках	
45-24	5756-5760	дела	
45-25	5761-5762	о	
45-26	5763-5768	якобы	
45-27	5769-5776	имевшем	
45-28	5777-5782	место	
45-29	5783-5796	вмешательстве	
45-30	5797-5799	РФ	
45-31	5800-5801	в	
45-32	5802-5808	выборы	
45-33	5809-5819	президента	
45-34	5820-5823	США	
45-35	5824-5825	.	
